city_A;city_B;POP_A;POP_B;CC_A;CC_B;distance;border_DUM;reg_border;FR_con;FR_int;EN_con;EN_int;CEAST;SOUTH;WEST;NORTH;col_en;col_fr;col_prop_fr;col_prop_en;res_en2;res_fr2;pred_en2;pred_fr2;pred_en2_exp;pred_fr2_exp
Paris;London;9591;8256;FR;UK;342.7198407546638;1;0;1;0;1;0;0;0;1;0;21874;10733;1.7872382232191104;2.09581377630115;0.9356613740633768;1.1380993261303338;9.057392621831793;8.142979060351191;8581.745601368413;3439.14805185797
Paris;Madrid;9591;4955;FR;ES;1047.1055206294939;1;1;1;0;0;0;0;1;1;0;3394;2404;0.4003093905356136;0.3251893552512619;0.5451473383922121;1.1279857208294817;7.584617107401959;6.656903574825616;1967.693074562483;778.1377575982169
Paris;Berlin;9591;3776;FR;DE;879.8359161720159;1;0;1;0;0;0;0;0;1;0;7899;4723;0.7864647468800762;0.7568269643870708;1.615543640914344;2.009756410403969;7.358947807250075;6.450443059492149;1570.1835577146799;632.9826796782328
Paris;Milan;9591;3698;FR;IT;640.6851614937534;1;1;1;0;0;0;0;1;1;0;3342;2713;0.4517634677716804;0.3202070787418142;0.5520240466740723;1.2401459656390117;7.562300662481267;6.66566434701992;1924.2675147318269;784.984794098722
Paris;Barcelona;9591;3659;FR;ES;827.8137779207144;1;1;1;0;0;0;0;1;1;0;2397;1696;0.2824146116257906;0.2296637844835813;0.4195395462503662;0.9784787046052522;7.3624336881840184;6.457549111746596;1575.6665816734628;637.4967071386889
Paris;Athens;9591;3331;FR;GR;2096.025767399245;1;1;1;0;0;0;0;1;1;0;1249;957;0.15935777318743022;0.11967044923654278;0.5641505062459017;1.2299369255986152;6.565948003879676;5.633866465854339;710.4851196871855;279.7416408206721
Paris;Rome;9591;2532;FR;IT;1108.9507629766335;1;1;1;0;0;0;0;1;1;0;6821;6116;1.018424389565646;0.6535405398258273;2.1547641820466383;2.9425924079107584;6.672997185608081;5.776071159138194;790.7621170890395;322.4896875508953
Paris;Birmingham;9591;2363;FR;UK;501.09555433608364;1;0;1;0;1;0;0;0;1;0;525;171;0.028474586431609786;0.05030183014346274;-0.8970921424973445;-1.152443223064254;7.160490405088968;6.294106779566914;1287.5421953509322;541.3720657728426
Paris;Lisbon;9591;2315;FR;PT;1444.5355010595267;1;1;1;0;0;0;0;1;1;0;1071;807;0.13438006579128128;0.10261573349266398;0.6114780357413067;1.2300522778447924;6.364870034706442;5.463271390425157;581.0693045666502;235.86777920698498
Paris;Naples;9591;2308;FR;IT;1293.5638262275543;1;1;1;0;0;0;0;1;1;0;1180;979;0.16302117027219873;0.11305935156054481;0.6321432827707951;1.3430801745650827;6.441126434688915;5.543451467965427;627.1128037191634;255.5585311044486
Paris;Katowice;9591;2279;FR;PL;1214.1657669687584;1;1;1;0;0;0;1;0;1;0;58;27;0.004495987331306808;0.0055571545682301686;-2.4103097292962774;-2.280024490108356;6.4707527398426965;5.575861356112686;645.9697912011678;263.9768357994314
Paris;Manchester;9591;2207;FR;UK;602.7402785635741;1;0;1;0;1;0;0;0;1;0;972;401;0.0667737377723715;0.09313024552275385;-0.058488121527411646;-0.07451285736188462;6.937843925987851;6.068474284668454;1030.5458847114019;432.02103736753475
Paris;Hamburg;9591;2123;FR;DE;746.4175879832528;1;0;1;0;0;0;0;0;1;0;1328;792;0.13188229505166638;0.12723967701051145;0.45915941079443495;0.8170815779837969;6.732269919241944;5.857479813830629;839.0496809888655;349.841366731681
Paris;Budapest;9591;2123;FR;HU;1251.2766816267986;1;1;1;0;0;0;1;0;1;0;1181;827;0.13771042677743447;0.11315516457034189;0.717108520354278;1.2532588078171372;6.357008295843084;5.464545887206554;576.5189995243074;236.16858357880395
Paris;Bucharest;9591;2064;FR;RO;1873.8199324775042;1;1;1;0;0;0;1;0;1;0;916;549;0.0914184090699051;0.08776471697411783;0.7928414997262124;1.1858242721427132;6.027174864947917;5.1222741693668175;414.5422357110989;167.71635163729837
Paris;Warsaw;9591;2004;FR;PL;1369.6254099481762;1;1;1;0;0;0;1;0;1;0;1552;1019;0.1696818922445051;0.14870179120505556;1.1306787692168503;1.6026959723784273;6.216620931526315;5.323881060844298;501.00743010626206;205.17864954758733
Paris;Stuttgart;9591;1735;FR;DE;501.98684840927666;1;0;1;0;0;0;0;0;1;0;700;430;0.07160276120229361;0.06706910685795031;-0.2078359319206551;0.1562439470739351;6.75891626696406;5.907541261613673;861.7078283373515;367.8007170060007
Paris;Vienna;9591;1674;FR;AT;1037.5399224643531;1;0;1;0;0;0;0;0;1;0;5275;4115;0.6852217729010192;0.5054136266795541;2.385554345543152;3.011678733151415;6.1851796128011145;5.310715379959754;485.50015782138195;202.49503747697253
Paris;Munich;9591;1647;FR;DE;686.9098043812573;1;0;1;0;0;0;0;0;1;0;3075;1861;0.30989008976155447;0.294625005125996;1.5673963062840757;1.9247694634519479;6.463663873956543;5.6040997931903025;641.4067903437127;271.53737558351565
Paris;Brussels;9591;1498;FR;BE;263.92485460488683;1;0;1;1;0;0;0;0;1;0;4461;5860;0.9757957689428852;0.42742183670473766;1.3675419761749896;2.46253721711287;7.035586258953274;6.213367665458189;1136.3609187092181;499.3801680274806
Paris;Stockholm;9591;1479;FR;SE;1542.4656807881126;1;1;1;0;0;0;0;0;1;1;1581;912;0.15186446096858555;0.15148036848917062;1.629131921595488;1.960945819434475;5.736680915613984;4.854694170639856;310.03367345052624;128.34143463328468
Paris;Frankfurt;9591;1462;FR;DE;479.6920497130541;1;0;1;0;0;0;0;0;1;0;1616;1031;0.17168010883619703;0.15483382383206815;0.8176267169540993;1.2096717022641192;6.570082522126941;5.728612781752841;713.4287143586748;307.54234397587715
Paris;Cologne;9591;1398;FR;DE;403.86011642768983;1;0;1;0;0;0;0;0;1;0;1125;840;0.13987516141843404;0.10778963602170587;0.3884676275447096;0.9297312846058572;6.637070687093811;5.803670607231502;762.8570697715289;331.5141877098491
Paris;Copenhagen;9591;1360;FR;DK;1028.6104264210312;1;1;1;0;0;0;0;0;1;1;1504;618;0.10290815447213363;0.1441027667347961;1.3935894537728093;1.3682297923063986;5.922294050736976;5.058258665151292;373.267025932383;157.31633725353325
Paris;Valencia;9591;1318;FR;ES;1062.6061072976995;1;1;1;0;0;0;0;1;1;0;358;704;0.11722870671259235;0.03430105750735173;0.022503115900042545;1.562365922652867;5.8580298705006575;4.994412433505175;350.03385224302;147.58620319447087
Paris;Turin;9591;1309;FR;IT;584.7779115338196;1;1;1;0;0;0;0;1;1;0;925;1019;0.1696818922445051;0.08862703406229148;0.5468264894294887;1.4864631771026806;6.282967248082937;5.440113856120044;535.3748994284246;230.46842220723806
Paris;Glasgow;9591;1228;FR;UK;892.5905347788245;1;0;1;0;1;0;0;0;1;0;682;251;0.04179603037622255;0.06534447268160302;0.6320032152978328;0.4866297953956482;5.893026442545629;5.038823143736135;362.50071349165336;154.2883329489424
Paris;Prague;9591;1175;FR;CZ;884.6548155058697;1;1;1;0;0;0;1;0;1;0;1649;963;0.16035688148327618;0.15799565315537153;1.5655771649696069;1.8794519548540067;5.842347157589992;4.990601456944119;344.5871926607811;147.0248260104385
Paris;Lyon;9591;1175;FR;FR;392.09225880229394;0;0;1;1;0;0;0;0;1;0;3582;12977;2.1609047258654983;0.3432022010931115;-0.020411460856304207;2.609047709438495;8.204088043476961;6.861886129298736;3655.8651359485993;955.1669379102108
Paris;Sofia;9591;1174;FR;BG;1760.6204970583835;1;1;1;0;0;0;1;0;1;0;511;305;0.050788005038836175;0.04896044800630373;0.8950227826985847;1.254210935880598;5.341346807505119;4.4661008407268135;208.79372596676066;87.01676843605595
Paris;Liverpool;9591;1170;FR;UK;625.7773132264347;1;0;1;0;1;0;0;0;1;0;649;214;0.03563486255183915;0.06218264335829966;0.38714374855918976;0.11738230630928537;6.088288968144901;5.248593708712566;440.66677084088656;190.29846512450072
Paris;Porto;9591;1163;FR;PT;1207.7157237368215;1;1;1;0;0;0;0;1;1;0;312;366;0.06094560604660341;0.029893659056686426;0.1400639948228303;1.161587217011085;5.6029391929866526;4.741046116390281;271.2224120588348;114.55397581206331
Paris;Seville;9591;1082;FR;ES;1433.112123104085;1;1;1;0;0;0;0;1;1;0;351;340;0.05661613676460425;0.03363036643877223;0.47568077409399406;1.3080650695741518;5.3851054493718715;4.520880548036056;218.1331048936346;91.91649924709584
Paris;Dublin;9591;1070;FR;IE;781.3730755964499;1;0;1;0;1;0;0;0;1;0;1145;383;0.06377641288483361;0.1097058962176473;1.2319319489173688;0.9797398602349418;5.8112279670709714;4.968295128945704;334.0290506107935;143.78154929391826
Paris;Helsinki;9591;1065;FR;FI;1910.8674530176822;1;1;1;0;0;0;0;0;1;1;575;324;0.053951847975681706;0.05509248063331633;1.1987639961510965;1.4984314115630641;5.155606044646254;4.2823121042292644;173.400863586138;72.40766067550291
Paris;Amsterdam;9591;1052;FR;NL;429.65227434089746;1;0;1;0;0;0;0;0;1;0;2973;1956;0.32570930444578217;0.2848520781266947;1.7736639029182282;2.176641027433583;6.223662920079869;5.402015823161179;504.54797028486877;221.85318253567655
Paris;Rotterdam;9591;1025;FR;NL;372.95006865503404;1;0;1;0;0;0;0;0;1;0;567;348;0.057948281159065536;0.05432597655493976;0.04758337427381489;0.374964021029233;6.292775929453937;5.477238458745242;540.6520599141556;239.1852745044485
Paris;Dusseldorf;9591;1016;FR;DE;412.2558262423045;1;0;1;0;0;0;0;0;1;0;573;405;0.06743980996960214;0.05490085461372218;0.14231794020663438;0.6138540406823172;6.208567776508105;5.390033026424222;496.9889420775214;219.21062517750548
Paris;Essen-Oberhausen;9591;986;FR;DE;440.9759327518436;1;0;1;0;0;0;0;0;1;0;172;95;0.01581921468422766;0.016479837685096362;-0.9733198168953259;-0.747561021973879;6.120814293708778;5.30143791357442;455.23523880407447;200.62508420035186
Paris;Lille;9591;953;FR;FR;203.84320949472263;0;0;1;1;0;0;0;0;1;0;1412;5237;0.8720550242242132;0.13528796983346547;-1.1551326999899822;1.465219790099224;8.40789511804317;7.098284304180263;4482.315829351176;1209.8894904100068
Paris;Lodz;9591;919;FR;PL;1257.5344650396587;1;1;1;0;0;0;1;0;1;0;129;99;0.016485286881458297;0.012359878263822273;-0.40865720294226276;0.17843965072784385;5.268469607303935;4.416680199406746;194.1186572313585;82.8208796598534
Paris;Marseille;9591;862;FR;FR;661.6278015035639;0;0;1;1;0;0;0;0;1;0;2185;7482;1.245888044919909;0.20935142640660206;0.2666943520746199;2.8425671087575077;7.42267675545507;6.077688306150583;1673.5070869589792;436.02008384403086
Paris;Antwerp;9591;830;FR;BE;301.0778587382221;1;0;1;0;0;0;0;0;1;0;1211;1275;0.21231051286726596;0.11602955486425404;0.9243583301473333;1.7737790078721554;6.174843413405759;5.376922449720371;480.50777695323;216.35540515027262
Paris;Bilbao;9591;822;FR;ES;741.7539989343985;1;1;1;0;0;0;0;1;1;0;233;164;0.027308960086456172;0.022324431282717747;-0.056335508272871926;0.42078330875796865;5.507373961838572;4.67908311906623;246.50295021736594;107.67130553235548
Paris;Newcastle;9591;814;FR;UK;735.0523767881692;1;0;1;0;1;0;0;0;1;0;244;77;0.012821889796689788;0.023378374390485537;-0.004125793152917287;-0.3299852811397486;5.50129401844612;4.673790702993433;245.00877309291334;107.1029694464696
Paris;Krakow;9591;807;FR;PL;1279.2641562342394;1;1;1;0;0;0;1;0;1;0;435;294;0.04895630649645192;0.041678659261726266;0.9877168414903703;1.4419864160686267;5.087629189598314;4.241593351270055;162.0053224947137;69.51853107967304
Paris;Bochum-Herne;9591;804;FR;DE;453.95184862884145;1;0;1;0;0;0;0;0;1;0;61;47;0.00782634831746;0.005844593597621384;-1.7244722435716404;-1.17478405570711;5.835346107744952;5.024931657417168;342.1831457944326;152.15985675970003
